R1,Too New To Rate,Employee has not been in the position long enough to rate performance
R2,Below Expectations,Rarely or never demonstrates expected behavior/knowledge in own work
R3,Needs Improvement,Demontrate expected behavior/knowledge inconsistently or in situations of low complexity/challenge
R4,Meets Expectation,Users expected behavior/knowledge consistently in a full range of typical situations/challenges
R5,Exceeds Exception,Applies expected behavior/knowledge successfully in unusual or challenging situations 
